,sum(tours),ranking_date
893,3214,20040101
894,3206,20040105
895,3206,20040112
896,3206,20040119
897,3206,20040126
898,3257,20040202
899,3265,20040209
900,3282,20040216
901,3282,20040223
902,3279,20040301
903,3286,20040308
904,3286,20040315
905,3286,20040322
906,3286,20040329
907,3277,20040405
908,3286,20040412
909,1489,20040419
910,3379,20040426
911,2613,20040503
912,1187,20040510
913,2361,20040517
914,2955,20040524
915,2535,20040531
916,3433,20040607
917,3456,20040614
918,3492,20040621
919,3492,20040628
920,3498,20040705
921,3516,20040712
922,3587,20040719
923,3592,20040726
924,3592,20040802
925,3645,20040809
926,3647,20040816
927,3661,20040823
928,3705,20040830
929,3705,20040906
930,3785,20040913
931,3831,20040920
932,3913,20040927
933,3957,20041004
934,3986,20041011
935,3987,20041018
936,3968,20041025
937,4011,20041101
938,4071,20041108
939,4124,20041115
940,4145,20041122
941,4147,20041129
942,4160,20041206
943,4160,20041213
944,4160,20041220
945,4160,20041227
946,4160,20050101
947,4160,20050103
948,4160,20050110
949,4160,20050117
950,4160,20050124
951,4198,20050131
952,4198,20050207
953,4211,20050214
954,4286,20050221
955,4286,20050228
956,4313,20050307
957,4313,20050314
958,4333,20050321
959,4333,20050328
960,4362,20050404
961,4371,20050411
962,4379,20050418
963,4379,20050425
964,4379,20050502
965,4470,20050509
966,4489,20050516
967,4522,20050523
968,4522,20050530
969,4682,20050606
970,4705,20050613
971,4727,20050620
972,4727,20050627
973,4792,20050704
974,4816,20050711
975,4847,20050718
976,4859,20050725
977,4926,20050801
978,4982,20050808
979,5020,20050815
980,5090,20050822
981,5100,20050829
982,5100,20050905
983,5187,20050912
984,5173,20050919
985,5175,20050926
986,5215,20051003
987,5249,20051010
988,5237,20051017
989,5257,20051024
990,5331,20051031
991,5362,20051107
992,5357,20051114
993,5391,20051121
994,5401,20051128
995,5452,20051205
996,5452,20051212
997,5452,20051219
998,5452,20051226
999,5452,20060101
1000,5452,20060102
1001,5452,20060109
1002,5452,20060116
1003,5452,20060123
1004,5441,20060130
1005,5425,20060206
1006,5441,20060213
1007,5478,20060220
1008,5528,20060227
1009,5548,20060306
1010,5548,20060313
1011,5559,20060320
1012,5559,20060327
1013,5626,20060403
1014,5626,20060410
1015,5644,20060417
1016,5658,20060424
1017,5656,20060501
1018,5654,20060508
1019,5683,20060515
1020,5721,20060522
1021,5798,20060529
1022,5798,20060605
1023,5862,20060612
1024,5897,20060619
1025,5944,20060626
1026,5944,20060703
1027,5983,20060710
1028,6026,20060717
1029,6065,20060724
1030,6133,20060731
1031,6151,20060807
1032,6226,20060814
1033,6289,20060821
1034,6284,20060828
1035,6284,20060904
1036,6304,20060911
1037,6347,20060918
1038,6376,20060925
1039,6436,20061002
1040,6520,20061009
1041,6629,20061016
1042,6730,20061023
1043,6808,20061030
1044,6816,20061106
1045,6807,20061113
1046,6893,20061120
1047,6896,20061127
1048,6931,20061204
1049,6953,20061211
1050,6953,20061218
1051,6953,20061225
1052,6953,20070101
1053,6926,20070108
1054,6926,20070115
1055,6926,20070122
1056,6925,20070129
1057,6925,20070205
1058,6930,20070212
1059,6942,20070219
1060,6988,20070226
1061,7017,20070305
1062,7017,20070312
1063,7058,20070319
1064,7058,20070326
1065,7139,20070402
1066,7175,20070409
1067,7197,20070416
1068,7197,20070423
1069,7197,20070430
1070,7233,20070507
1071,7317,20070514
1072,7341,20070521
1073,7365,20070528
1074,7365,20070604
1075,7448,20070611
1076,7448,20070618
1077,7473,20070625
1078,7473,20070702
1079,7495,20070709
1080,7478,20070716
1081,7470,20070723
1082,7528,20070730
1083,7522,20070806
1084,7527,20070813
1085,7503,20070820
1086,7504,20070827
1087,7504,20070903
1088,7602,20070910
1089,7643,20070917
1090,7686,20070924
1091,7697,20071001
1092,7707,20071008
1093,7687,20071015
1094,7638,20071022
1095,7711,20071029
1096,7677,20071105
1097,7664,20071112
1098,7666,20071119
1099,7674,20071126
1100,7650,20071203
1101,7659,20071210
1102,7659,20071217
1103,7682,20071224
1104,7682,20071231
1105,7682,20080101
1106,7682,20080107
1107,7711,20080114
1108,7711,20080121
1109,7691,20080128
1110,7716,20080204
1111,7743,20080211
1112,7742,20080218
1113,7731,20080225
1114,7761,20080303
1115,7790,20080310
1116,7790,20080317
1117,7832,20080324
1118,7832,20080331
1119,7873,20080407
1120,7889,20080414
1121,7917,20080421
1122,7917,20080428
1123,7929,20080505
1124,8002,20080512
1125,8022,20080519
1126,8090,20080526
1127,8090,20080602
1128,8030,20080609
1129,7970,20080616
1130,7966,20080623
1131,7966,20080630
1132,8089,20080707
1133,8113,20080714
1134,8235,20080721
1135,8280,20080728
1136,8325,20080804
1137,8372,20080811
1138,8387,20080818
1139,8417,20080825
1140,8417,20080901
1141,8527,20080908
1142,8639,20080915
1143,8690,20080922
1144,8731,20080929
1145,8762,20081006
1146,8794,20081013
1147,8836,20081020
1148,8898,20081027
1149,8956,20081103
1150,8996,20081110
1151,9003,20081117
1152,9019,20081124
1153,9050,20081201
1154,9076,20081208
1155,9077,20081215
1156,9070,20081222
1157,9070,20081229
1158,9070,20090101
1159,9064,20090105
1160,9064,20090112
1161,9064,20090119
1162,9064,20090126
1163,9087,20090202
1164,9087,20090209
1165,9059,20090216
1166,9063,20090223
1167,9063,20090302
1168,9053,20090309
1169,9053,20090316
1170,9057,20090323
1171,9057,20090330
1172,9066,20090406
1173,9121,20090413
1174,9110,20090420
1175,9111,20090427
1176,9094,20090504
1177,9143,20090511
1178,9140,20090518
1179,9153,20090525
1180,9153,20090601
1181,9203,20090608
1182,9239,20090615
1183,9255,20090622
1184,9255,20090629
1185,9310,20090706
1186,9376,20090713
1187,9474,20090720
1188,9589,20090727
1189,9611,20090803
1190,9598,20090810
1191,9642,20090817
1192,9682,20090824
1193,9682,20090831
1194,9682,20090907
1195,9808,20090914
1196,9856,20090921
1197,9918,20090928
1198,9929,20091005
1199,9925,20091012
1200,10003,20091019
1201,10025,20091026
1202,10061,20091102
1203,10116,20091109
1204,10137,20091116
1205,10204,20091123
1206,10238,20091130
1207,10221,20091207
1208,10272,20091214
1209,10272,20091221
1210,10318,20091228
1211,10318,20100101
1212,10318,20100104
1213,10320,20100111
1214,10329,20100118
1215,10329,20100125
1216,10373,20100201
1217,10372,20100208
1218,10389,20100215
1219,10404,20100222
1220,10430,20100301
1221,10442,20100308
1222,10442,20100315
1223,10412,20100322
1224,10412,20100329
1225,10481,20100405
1226,10515,20100412
1227,10543,20100419
1228,10580,20100426
1229,10590,20100503
1230,10576,20100510
1231,10593,20100517
1232,10634,20100524
1233,10634,20100531
1234,10613,20100607
1235,10630,20100614
1236,10634,20100621
1237,10634,20100628
1238,10685,20100705
1239,10726,20100712
1240,10756,20100719
1241,10817,20100726
1242,10835,20100802
1243,10937,20100809
1244,10999,20100816
1245,11026,20100823
1246,11125,20100830
1247,11125,20100906
1248,11256,20100913
1249,11290,20100920
1250,11339,20100927
1251,11460,20101004
1252,11566,20101011
1253,11594,20101018
1254,11617,20101025
1255,11687,20101101
1256,11735,20101108
1257,11814,20101115
1258,11845,20101122
1259,11877,20101129
1260,11888,20101206
1261,11907,20101213
1262,11913,20101220
1263,11904,20101227
1264,11904,20110101
1265,12060,20110103
1266,12067,20110110
1267,12094,20110117
1268,12094,20110124
1269,12143,20110131
1270,12181,20110207
1271,12204,20110214
1272,12201,20110221
1273,12254,20110228
1274,12267,20110307
1275,12267,20110314
1276,12303,20110321
1277,12303,20110328
1278,12343,20110404
1279,12398,20110411
1280,12434,20110418
1281,12422,20110425
1282,12438,20110502
1283,12482,20110509
1284,12467,20110516
1285,12522,20110523
1286,12522,20110530
1287,12659,20110606
1288,12682,20110613
1289,12686,20110620
1290,12686,20110627
1291,12867,20110704
1292,12895,20110711
1293,12927,20110718
1294,13006,20110725
1295,12999,20110801
1296,13081,20110808
1297,13129,20110815
1298,13140,20110822
1299,13174,20110829
1300,13174,20110905
1301,13299,20110912
1302,13342,20110919
1303,13382,20110926
1304,13372,20111003
1305,13382,20111010
1306,13411,20111017
1307,13443,20111024
1308,13465,20111031
1309,13443,20111107
1310,13482,20111114
1311,13518,20111121
1312,13517,20111128
1313,13542,20111205
1314,13536,20111212
1315,13565,20111219
1316,13603,20111226
1317,13603,20120101
1318,13610,20120102
1319,13628,20120109
1320,13618,20120116
1321,13618,20120123
1322,13667,20120130
1323,13666,20120206
1324,13674,20120213
1325,13719,20120220
1326,13788,20120227
1327,13791,20120305
1328,13791,20120312
1329,13818,20120319
1330,13818,20120326
1331,13881,20120402
1332,13902,20120409
1333,13938,20120416
1334,13964,20120423
1335,13983,20120430
1336,14016,20120507
1337,14015,20120514
1338,14034,20120521
1339,14087,20120528
1340,14087,20120604
1341,14072,20120611
1342,14138,20120618
1343,14172,20120625
1344,14172,20120702
1345,14180,20120709
1346,14223,20120716
1347,14250,20120723
1348,14264,20120730
1349,14286,20120806
1350,14331,20120813
1351,14361,20120820
1352,14389,20120827
1353,14389,20120903
1354,14389,20120910
1355,14402,20120917
1356,14438,20120924
1357,14472,20121001
1358,14480,20121008
1359,14513,20121015
1360,14525,20121022
1361,14547,20121029
1362,14585,20121105
1363,14621,20121112
1364,14624,20121119
1365,14612,20121126
1366,14610,20121203
1367,14639,20121210
1368,14633,20121217
1369,14649,20121224
1370,13949,20121231
1371,14648,20130101
1372,13966,20130107
1373,14667,20130114
1374,14667,20130121
1375,14667,20130128
1376,14652,20130204
1377,14651,20130211
1378,14649,20130218
1379,14554,20130225
1380,14695,20130304
1381,14727,20130311
1382,13048,20130318
1383,6790,20130401
1384,14591,20130408
1385,14449,20130415
1386,14451,20130422
1387,14462,20130429
1388,14487,20130506
1389,14516,20130513
1390,14531,20130520
1391,14545,20130527
1392,14545,20130603
1393,14553,20130610
1394,14569,20130617
1395,14650,20130624
1396,14651,20130708
1397,14689,20130715
1398,14751,20130722
1399,14766,20130729
1400,14679,20130805
1401,14599,20130812
1402,14740,20130819
1403,14714,20130826
1404,14796,20130902
1405,14820,20130909
1406,14866,20130916
1407,14878,20130923
1408,14885,20130930
1409,15028,20131007
1410,15072,20131014
1411,15025,20131021
1412,15071,20131028
1413,15098,20131104
1414,15101,20131111
1415,15151,20131118
1416,15337,20131125
1417,15334,20131202
1418,15512,20131209
1419,15540,20131216
1420,15701,20131223
1421,15708,20131230
1422,15703,20140106
1423,15637,20140113
1424,8585,20140120
1425,15646,20140127
1426,15632,20140203
1427,15637,20140210
1428,8565,20140217
1429,15659,20140224
1430,15557,20150302
1431,15578,20150406
1432,15545,20150413
1433,15568,20150420
1434,15475,20150427
1435,15710,20150511
1436,15623,20150518
1437,15741,20150525
1438,15741,20150608
1439,15810,20150622
1440,15761,20150803
1441,15776,20150810
1442,15908,20150824
1443,16184,20150831
1444,15832,20150914
1445,15800,20150921
1446,16178,20151005
1447,16191,20151012
1448,16138,20151019
1449,16293,20151102
1450,4812,20160111
1451,16518,20160118
1452,16629,20160201
1453,16586,20160208
1454,16529,20160215
1455,16454,20160222
1456,16515,20160229
1457,16517,20160307
1458,16446,20160411
1459,16454,20160418
1460,16489,20160425
1461,16388,20160502
1462,16374,20160509
1463,16351,20160523
1464,16361,20160606
1465,16314,20160620
1466,16293,20160627
1467,16325,20160815
1468,16316,20160919
1469,16305,20160926
1470,16233,20161010
1471,16349,20161031
1472,16364,20161107
1473,16249,20161114
1474,16345,20161121
1475,16294,20161128
1476,16336,20161205
1477,16387,20161212
1478,16372,20170102
1479,16406,20170109
1480,16379,20170116
1481,16305,20170213
1482,16207,20170220
1483,16111,20170306
1484,16230,20170320
1485,16270,20170417
1486,16226,20170424
1487,16303,20170501
1488,16124,20170508
1489,16204,20170515
1490,16290,20170522
1491,16649,20170529
1492,16157,20170612
1493,16189,20170619
1494,16184,20170626
1495,16597,20170703
1496,15983,20170717
1497,16138,20170724
1498,16145,20170731
1499,16147,20170807
1500,16268,20170814
1501,16279,20170821
1502,16301,20170828
1503,16161,20170911
